"subjid","cadre_id","status","selpa_final","district_final","district_size","role","job_title","gender","ethnicity","race","age","socio_disadvantaged_percentage","performance_score_avg","exp_asd","years_participation","ebp_use_primary_quality_outcome","ebp_use_secondary_quality_outcocme","ebp_use_tertiary_quality_outcome","pct_correct_avg","pct_fidelity_avg","primary_pct_cor","primary_pct_fid","ebp_res_partnership_avg","ebp_res_strategic_planning_avg","ebp_res_org_capacity_avg","ebp_res_total","use_data","ics_focus_ebp","ics_edu_support","ics_recog_ebp","ics_rewards_ebp","ics_selection_ebp","ics_selection_open","ics_exist_sup_ebp","ics_exist_use_data","ics_total","ics_total_narm"
"CAP2621",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2622",NA,"Eligible","San Francisco Unified SELPA","San Francisco Unified",52592,"DSP","Itinerant Special Education Teacher (serving multiple school sites)","Female","No","White","35 - 44",0.55,NA,3,NA,3.25,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,12,12,12,12,10.5,12,12,12,94.5,94.5
"CAP2623",NA,"Eligible","Pajaro Valley School District SELPA","Pajaro Valley Unified",18220,"DSP","Psychologist","Male","No","White","35 - 44",0.75,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,4,8,2,9,6,4,4,45,45
"CAP2624",NA,"Eligible","Kern High SELPA","Kern High",39081,"DSP","Special Education Teacher (serving on a single school site)","Male","Yes","White","35 - 44",0.71,NA,1,NA,3,3,4,0.75,1,100,100,NA,NA,NA,NA,1,12,12,12,12,12,12,12,16,100,100
"CAP2625",NA,"Eligible","ABC Unified SELPA","ABC Unified",20550,"DSP","SLP/SLPA","Female","No","2 or more of the above","25 - 34",0.52,NA,2,NA,2,2.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,4,1,6,6,1,0,29,29
"CAP2626",NA,"Eligible","Lassen County SELPA","Janesville Union Elementary",352,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","65 - 74",0.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,2,0,4,6,0,0,14,14
"CAP2627",NA,"Eligible","West San Gabriel Valley SELPA","San Marino Unified",3072,"DSP","Paraprofessional","Female","No","White","25 - 34",0.61,NA,3,NA,3.25,2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,11,7,8,3,8,12,3,7,59,59
"CAP2628",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"Administrator","Assistant Principal","Female","No","White","35 - 44",0.34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.4,2.4,29,0,5,1,3,0,3,9,1,5,27,27
"CAP2629",NA,"Eligible","West Contra Costa Unified SELPA","West Contra Costa Unified",28457,"Specialist","Program Specialist","Female","Yes","American Indian or Alaskan Native","25 - 34",0.72,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,0,6,4,9,2,3,3,2,0,29,29
"CAP263","CC0577","Eligible","San Diego North Coastal SELPA",NA,NA,"Administrator","Specialist","Female","Yes","White","35 - 44",0.43,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,0,4,10,8,2,3,6,4,3,40,40
"CAP2630",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","SLP/SLPA","Female","No","White","25 - 34",0.34,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,10,6,7,3,7,12,8,15,68,68
"CAP2631",NA,"Eligible","Tulare County SELPA","Cutler-Orosi Joint Unified",441,"DSP","Psychologist","Female","Yes","White","35 - 44",0.78,NA,2,2,3.5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3,1.5,0,7.5,12,0,16,NA,40
"CAP2632",NA,"Eligible","Calaveras County SELPA","Calaveras Unified",2870,"Administrator","Principal","Male","No","White","55 - 64",0.55,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9,NA,8,NA,17
"CAP2633",NA,"Eligible","Santa Clarita Valley SELPA","William S. Hart Union High",22661,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,3,3,3,3,4,25,25
"CAP2634",NA,"Eligible","Ventura SELPA","Ventura Unified",16813,"DSP","Psychologist","Female","No","White","45 - 54",0.52,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,4,3,3,6,4,8,42,42
"CAP2635",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.54,NA,3,NA,3.5,3.5,3,0.81,0.97,66.67,94.12,NA,NA,NA,NA,1,9,7,8,3,2,5,5,5,44,44
"CAP2636",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2637",NA,"Eligible","San Joaquin County SELPA","Escalon Unified",2594,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.57,NA,2,NA,3,2.75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,4,2,9,9,1,6,37,37
"CAP2638",NA,"Eligible","San Francisco Unified SELPA","San Francisco Unified",52592,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Asian","25 - 34",0.55,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,8,10,8,5,9,11,9,12,72,72
"CAP2639",NA,"Eligible","Desert / Mountain SELPA","Victor Valley Union High",10261,"DSP","Paraprofessional","Female","No","Other","35 - 44",0.76,NA,3,NA,1.5,0.75,1.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2640",NA,"Eligible","Pajaro Valley School District SELPA",NA,NA,"Specialist","Behavior Specialist","Female","Decline to answer","Decline to answer","45 - 54",0.75,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,3,4,5,1,3,3,3,4,26,26
"CAP2641",NA,"Eligible","ABC Unified SELPA","ABC Unified",20550,"DSP","SLP/SLPA","Decline to answer","No","Decline to answer","Decline to answer",0.52,NA,3,NA,2.25,3.25,4,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,7,0,6,6,3,7,38,38
"CAP2642",NA,"Eligible","Foothill SELPA","Glendale Unified",26071,"DSP","Behavior Specialist","Female","No","White","25 - 34",0.42,NA,3,NA,2.5,2.75,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,6,8,9,8,9,15,67,67
"CAP2643",NA,"Eligible","Nevada County SELPA","Nevada Joint Union High",2607,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Asian","55 - 64",0.48,NA,3,NA,2.5,2.25,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,3,0,6,11,5,6,43,43
"CAP2644",NA,"Eligible","Santa Clara County SELPA I","Los Altos Elementary",6637,"Specialist","Behavior Specialist","Female","Yes","Other","25 - 34",0.19,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,0,8,6,6,4,6,9,5,10,54,54
"CAP2645",NA,"Eligible","San Ramon Valley USD SELPA","San Ramon Valley Unified",32504,"DSP","Paraprofessional","Female","No","White","35 - 44",0.06,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,6,6,6,8,50,50
"CAP2646",NA,"Eligible","Sacramento County SELPA","Galt Joint Union Elementary",3639,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.67,NA,3,NA,2.75,2.25,3,0.61,0.79,33.33,77.42,NA,NA,NA,NA,1,8,11,6,0,8,8,8,5,54,54
"CAP2647",NA,"Eligible","Sonoma County SELPA","Petaluma Combined",NA,"DSP","Paraprofessional","Female","No","White","55 - 64",0.51,NA,2,NA,1.5,1,1.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2648",NA,"Eligible","Folsom Cordova USD SELPA","Folsom-Cordova Unified",20240,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.38,NA,3,2,3.75,3.75,3,0.78,0.98,100,94.74,NA,NA,NA,NA,1,3,4,3,0,2,1,1,4,18,18
"CAP2649",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Female","No","White","45 - 54",0.34,NA,3,NA,2.25,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,6,1,6,6,4,6,40,40
"CAP265","CC0615","Eligible","Yolo County SELPA","Washington Unified School District",8322,"Specialist","Program Specialist","Female","No","White","35 - 44",0.55,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,0,5,8,12,4,3,3,6,12,53,53
"CAP2650",NA,"Eligible","Placer SELPA","Placer Union High",4037,"DSP","Psychologist",NA,NA,NA,NA,0.34,NA,1,NA,1.5,2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,1.5,NA,NA,NA,NA,NA,16.5
"CAP2651",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Female","No","White","45 - 54",0.34,NA,1,NA,1.5,1.75,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,6,4,4,4,3,5,31,31
"CAP2653",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Male","Yes","Decline to answer","35 - 44",0.34,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,2,3,4,3,4,28,28
"CAP2654",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Female","No","White","25 - 34",0.34,NA,3,NA,2.75,2.25,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6,0,1,9,0,2,20,20
"CAP2655",NA,"Eligible","Placer SELPA","Loomis Union Elementary",2536,"Specialist","Psychologist",NA,NA,NA,NA,0.34,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,1,0,3,6,2,3,21,21
"CAP2656",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"Specialist","Psychologist","Male","Decline to answer","Decline to answer","35 - 44",0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,2,3,4,0,3,3,1,0,16,16
"CAP2657",NA,"Eligible","Marin County SELPA","Mill Valley Elementary",3086,"DSP","Special Education Teacher (serving on a single school site)","Female","No","2 or more of the above","45 - 54",0.3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,6,1,6,4,1,0,23,23
"CAP2658",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist",NA,NA,NA,NA,0.34,NA,2,NA,2.75,2.75,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,9,6,9,2,NA,NA,NA,NA,NA,26
"CAP2659",NA,"Eligible","North Region SELPA","Albany City Unified",3658,"DSP","Paraprofessional","Female","No","White","45 - 54",0.29,NA,2,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,9,0,3,3,7,12,48,48
"CAP2660",NA,"Eligible","Pajaro Valley School District SELPA",NA,NA,"DSP","Itinerant Special Education Teacher (serving multiple school sites)","Female","No","White","55 - 64",0.75,NA,3,NA,2,1.75,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5,3,0,1.5,2,4,5,28.5,28.5
"CAP2661",NA,"Eligible","Placer SELPA","Rocklin Unified",11821,"DSP","Psychologist",NA,NA,NA,NA,0.34,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2662",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2663",NA,"Eligible","Placer SELPA","Placer Union High",4037,"DSP","Psychologist",NA,NA,NA,NA,0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2664",NA,"Eligible","San Francisco Unified SELPA","San Francisco Unified",52592,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,3,NA,2.5,4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2665",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Female","No","White","25 - 34",0.34,NA,3,NA,2.5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,3,2,3,9,0,1,25,25
"CAP2666",NA,"Eligible","Placer SELPA","Roseville City Elementary",10850,"DSP","Psychologist","Female","No","White","25 - 34",0.34,NA,3,NA,2.5,2,2.25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,4,0,4,4,4,2,28,28
"CAP2667",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2668",NA,"Eligible","Marin County SELPA","Mill Valley Elementary",3086,"DSP","Paraprofessional",NA,NA,NA,NA,0.3,NA,2,NA,2.25,3.25,2.75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2669",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","25 - 34",0.54,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,5,4,3,3,3,4,28,28
"CAP267","CC0678","Eligible","Moreno Valley SELPA",NA,NA,"Specialist","Program Specialist","Female","No","White","35 - 44",0.83,55.33,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,0,3,7,4,3,4,3,7,4,35,35
"CAP2670",NA,"Eligible","Placer SELPA","Rocklin Unified",11821,"DSP","Psychologist",NA,NA,NA,NA,0.34,NA,3,NA,1.75,2,1.75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2671",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","45 - 54",0.54,NA,2,NA,1.5,1.25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,0,0,0,0,4,4
"CAP2672",NA,"Eligible","West San Gabriel Valley SELPA","Arcadia Unified",9460,"DSP","SLP/SLPA","Female","No","Asian","35 - 44",0.61,NA,3,NA,3.25,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,4,0,6,9,1,0,33,33
"CAP2673",NA,"Eligible","Elk Grove USD SELPA","Elk Grove Unified",62599,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Asian","35 - 44",0.55,NA,2,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,4,6,6,6,8,48,48
"CAP2674",NA,"Eligible","Shasta County SELPA","Gateway Unified",2324,"DSP","Psychologist","Female","No","White","25 - 34",0.58,NA,3,1,3.25,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,3,1,3,6,1,0,19,19
"CAP2675",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2676",NA,"Eligible","Foothill SELPA","Burbank Unified",15173,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.42,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2677",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Paraprofessional",NA,NA,NA,NA,0.54,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2678",NA,"Eligible","Nevada County SELPA","Union Hill Elementary",582,"DSP","Paraprofessional","Female","No","White","45 - 54",0.48,NA,1,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,12,12,12,12,12,12,12,16,100,100
"CAP2679",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Paraprofessional","Female","No","White","55 - 64",0.54,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,4,9,3,4,23,23
"CAP2680",NA,"Eligible","ABC Unified SELPA","ABC Unified",20550,"DSP","Special Education Teacher (serving on a single school site)","Female","No","2 or more of the above","25 - 34",0.52,NA,1,NA,2,2.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,8,4,6,0,6,6,3,4,37,37
"CAP2681",NA,"Eligible","West End SELPA","Central Elementary",4555,"DSP","Psychologist",NA,NA,NA,NA,0.53,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2682",NA,"Eligible","San Joaquin County SELPA","Lincoln Unified",9054,"DSP","SLP/SLPA","Female","Yes","2 or more of the above","25 - 34",0.57,NA,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,0,3,5,0,4,20,20
"CAP2683",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2684",NA,"Eligible","Ventura SELPA","Oak Park Unified",4554,"DSP","Psychologist","Female","No","White","25 - 34",0.52,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,9,6,0,8,7,9,12,63,63
"CAP2685",NA,"Eligible","Ventura SELPA","Oak Park Unified",4554,"Specialist","Behavior Specialist","Male","No","White","25 - 34",0.52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,0,12,11,8,6,12,12,12,11,84,84
"CAP2686",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,0,7,10,9,0,9,12,9,13.3333333333333,69.3333333333333,69.3333333333333
"CAP2687",NA,"Eligible","Ventura SELPA","Oak Park Unified",4554,"Director","Director of Special Education","Female","No","White","55 - 64",0.52,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,0,6,7,7,1,9,12,3,3,48,48
"CAP2688",NA,"Eligible","San Francisco Unified SELPA","San Francisco Unified",52592,"DSP","Special Education Teacher (serving on a single school site)","Decline to answer","Decline to answer","Decline to answer","Decline to answer",0.55,NA,3,NA,2,1.75,1.75,0.39,0.84,60,70,NA,NA,NA,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,8
"CAP2689",NA,"Eligible","Stockton Unified SELPA","Stockton Unified",35258,"DSP","SLP/SLPA","Female","No","White","25 - 34",0.84,NA,2,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,6,10,9,9,12,12,12,16,86,86
"CAP269","CC0219","Eligible","Shasta County SELPA",NA,NA,"Specialist","TOSA","Female","No","White","55 - 64",0.58,51.95,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,0,3,5,6,3,6,6,2,5,36,36
"CAP2690",NA,"Eligible","Ventura SELPA","Oak Park Unified",4554,"Specialist","Behavior Specialist","Female","No","White","35 - 44",0.52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,0,12,12,9,4,12,12,12,8,81,81
"CAP2691",NA,"Eligible","San Juan Unified SELPA","San Juan Unified",39805,"DSP","Paraprofessional","Male","No","White","45 - 54",0.54,NA,1,NA,1.75,1.75,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,9,9,9,9,9,12,75,75
"CAP2692",NA,"Eligible","West San Gabriel Valley SELPA","Alhambra Unified",16855,"DSP","Paraprofessional","Female","Yes","Other","25 - 34",0.61,NA,2,NA,1.25,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,6,6,6,6,6,8,52,52
"CAP2693",NA,"Eligible","Southwest SELPA","Inglewood Unified",8560,"DSP","Paraprofessional",NA,NA,NA,NA,0.45,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2694",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2695",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2696",NA,"Eligible","San Diego City Unified SELPA","San Diego Unified",104801,"DSP","Paraprofessional",NA,NA,NA,NA,0.59,NA,3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2697",NA,"Eligible","Antelope Valley SELPA","Eastside Union Elementary",3402,"DSP","Psychologist","Female","Yes","White","25 - 34",0.78,NA,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,8,8,4,2,6,9,6,6,49,49
"CAP2698",NA,"Eligible","Antelope Valley SELPA","Antelope Valley Union High",21011,"Specialist","Program Specialist","Female","No","Black, African American","35 - 44",0.78,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,3,9,4,4,6,8,4,4,42,42
"CAP2699",NA,"Eligible","Antelope Valley SELPA","Eastside Union Elementary",3402,"DSP","Special Education Teacher (serving on a single school site)","Female","Decline to answer","Decline to answer","45 - 54",0.78,NA,3,1,2.25,2,2,0.2,1,0,100,NA,NA,NA,NA,1,6,8,4,3,6,6,6,7,46,46
"CAP2700",NA,"Eligible","Antelope Valley SELPA","Keppel Union Elementary",2619,"DSP","SLP/SLPA","Female","No","White","25 - 34",0.78,NA,3,NA,3.25,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,1,12,11,9,1,6,7,6,12,64,64
"CAP2701",NA,"Eligible","Antelope Valley SELPA","Antelope Valley Union High",21011,"DSP","Psychologist","Female","Yes","White","45 - 54",0.78,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9,NA,NA,NA,NA,0,0,NA,18
"CAP2702",NA,"Eligible","Placer SELPA","Western Placer Unified",6960,"DSP","Psychologist","Female","Yes","White","25 - 34",0.34,NA,1,NA,2.25,2.75,2.25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2703",NA,"Eligible","Los Angeles Unified SELPA","Los Angeles Unified",467007,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","25 - 34",0.86,NA,1,NA,1.25,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,8,0,6,6,0,0,23,23
"CAP2704",NA,"Eligible","Tri-City SELPA","Santa Monica-Malibu Unified",10806,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.27,NA,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,5,4,5,4,5,7,42,42
"CAP2705",NA,"Eligible","Los Angeles Unified SELPA","Los Angeles Unified",467007,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.86,NA,3,NA,3,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2706",NA,"Eligible",NA,NA,NA,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","2 or more of the above","45 - 54",NA,NA,3,NA,3,3,2,0.42,0.77,60,83.33,NA,NA,NA,NA,0,3,3,3,3,3,3,3,4,25,25
"CAP2707",NA,"Eligible","Desert / Mountain SELPA","Apple Valley Unified",12980,"DSP","Paraprofessional","Female","No","White","35 - 44",0.76,NA,1,NA,2.75,1.5,0.75,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,9,7,8,8,7,6,63,63
"CAP2708",NA,"Eligible","Ventura SELPA","Ventura Unified",16813,"DSP","Paraprofessional","Female","No","Other","45 - 54",0.52,NA,3,NA,2.25,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,10,9,10,3,6,11,5,7,61,61
"CAP2709",NA,"Eligible","Antelope Valley SELPA","Keppel Union Elementary",2619,"DSP","Psychologist","Female","Yes","White","25 - 34",0.78,NA,1,NA,2.25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,3,3,5,12,6,5,43,43
"CAP2710",NA,"Eligible","Northeast Orange County SELPA","Placentia-Yorba Linda Unified",25741,"Director","Director of Special Education","Female","No","2 or more of the above","45 - 54",0.36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,4,48,0,6,6,8,2,6,9,3,4,44,44
"CAP2711",NA,"Eligible","El Dorado County SELPA","El Dorado Union High",6575,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.29,NA,2,NA,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2712",NA,"Eligible","Placer SELPA","Tahoe-Truckee Unified",3921,"DSP","Psychologist","Female","No","White","35 - 44",0.34,NA,3,NA,2.75,2.75,3.25,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,8,0,6,6,3,1,33,33
"CAP2713",NA,"Eligible","Northeast Orange County SELPA","Placentia-Yorba Linda Unified",25741,"Administrator","Specialist","Female","No","White","55 - 64",0.36,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,0,4,5,6,0,3,6,6,3,33,33
"CAP2714",NA,"Eligible","San Diego North Inland SELPA","Escondido Union",15767,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.68,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP2715",NA,"Eligible","Santa Clarita Valley SELPA","Saugus Union",9960,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.34,NA,3,NA,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,10,2,3,3,3,6,7,8,42,42
"CAP2716",NA,"Eligible","Antelope Valley SELPA","Keppel Union Elementary",2619,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","2 or more of the above","35 - 44",0.78,NA,2,1,2.25,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,10,8,3,6,8,1,2,47,47
